crop,year,production,area,yield
Groundnut,2018,6712988.0,4743151.3,1.4153012576259163
Groundnut,2019,9957031.0,4842116.0,2.0563387989878805
Guar seed,2011,1932637.0,3236721.0,0.5970971857012081
Guar seed,2013,3244156.0,5553191.0,0.5841967258104395
Guar seed,2014,2991219.0,4938431.0,0.6057022969441104
Guar seed,2015,2449888.0,5150564.0,0.4756543166923079
Guar seed,2016,1583868.0,3788643.0,0.4180568082028315
Guar seed,2017,1645525.0,3930782.0,0.4186253524107926
Guar seed,2018,1307333.0,3458295.0,0.3780281901919877
Guar seed,2019,1526659.0,3140242.0,0.4861596654015837
Horse-gram,2011,192187.0,415423.0,0.46262965700021424
Horse-gram,2013,211099.0,408335.0,0.5169750327549684
Horse-gram,2014,227589.0,432219.0,0.5265594524997744
Horse-gram,2015,194559.0,416450.0,0.4671845359586985
Horse-gram,2016,92751.0,293128.0,0.3164180835675882
Horse-gram,2017,245171.0,396370.0,0.6185407573731614
Horse-gram,2018,240744.0,490006.0,0.4913082696946568
Horse-gram,2019,295759.0,459037.0,0.644303182532127
Jowar,2011,5730084.0,6131123.0,0.9345896339055667
Jowar,2013,6263185.0,6548537.0,0.9564250763185731
Jowar,2014,5746456.0,6146424.0,0.9349267151110955
Jowar,2015,3896324.0,6070638.0,0.641831056307426
Jowar,2016,4997992.0,6165339.0,0.8106597220363714
Jowar,2017,5822466.0,6245333.0,0.9322907201265329
Jowar,2018,3834906.0,4943554.0,0.7757386689818702
Jowar,2019,4896201.0,4991238.0,0.9809592329598388
Jute,2011,10734936.0,805135.0,13.333088239860396
Jute,2013,11067312.0,753253.0,14.69268891063162
Jute,2014,11073857.0,743756.0,14.889099382055406
Jute,2015,9929635.0,727681.0,13.645587833130177
Jute,2016,10433086.0,706068.0,14.776318994771042
Jute,2017,9552835.0,685701.0,13.931487630906183
Jute,2018,8440660.0,665697.0,12.679432234184622
Jute,2019,9283060.0,628398.0,14.772580434692664
Khesari,2011,365993.0,499465.0,0.7327700639684462
Khesari,2013,308818.0,455938.0,0.677324548513175
Khesari,2014,398979.0,431875.0,0.9238298118668596
Khesari,2015,282083.0,393791.0,0.7163266809043376
Khesari,2016,373371.0,320024.0,1.1666968727345448
Khesari,2017,263287.0,347393.0,0.7578937975146304
Khesari,2018,248355.0,320596.0,0.7746665585347291
Khesari,2019,180164.0,329536.0,0.5467202369392115
Linseed,2011,116943.0,240360.0,0.48653270094857715
Linseed,2013,98878.0,196561.0,0.5030397688249449
Linseed,2014,104713.0,188937.0,0.5542217776295802
Linseed,2015,97875.0,212453.0,0.46069012911090923
Linseed,2016,139029.0,234477.0,0.5929323558387389
Linseed,2017,164013.0,301019.0,0.5448592945960222
Linseed,2018,92927.0,156425.0,0.5940674444622024
Linseed,2019,120624.0,176454.0,0.6836002584242918
Maize,2011,22225075.0,8634475.5,2.573992479334732
Maize,2013,26279747.0,8652885.1,3.0371080508164843
Maize,2014,24914516.0,9041366.1,2.755614110128778
Maize,2015,22721124.0,8645119.5,2.628202421030733
Maize,2016,27612177.0,9406875.5,2.935318640073423
Maize,2017,33122757.0,9374226.92,3.5333854495598236
Maize,2018,28447793.0,9090595.756,3.1293650893258356
Maize,2019,32624847.0,9919671.59,3.288903942433844
Masoor,2011,1008720.0,1483734.0,0.6798523185422723
Masoor,2013,963295.0,1252035.0,0.7693834437535692
Masoor,2014,977405.0,1352870.0,0.7224677906968149
Masoor,2015,1226030.0,1334068.0,0.9190161221167137
Masoor,2016,1460662.0,1432778.0,1.0194614936856932
Masoor,2017,1610117.0,1535988.0,1.0482614447508705
Masoor,2018,1219656.0,1349629.0,0.9036972382780749
Masoor,2019,1103037.0,1303204.0,0.8464039398283001
