state,year,production,area,yield
Karnataka,2019,61374669.0,11632306.0,5.276225453491337
Kerala,2011,4140113.0,606768.2,6.823220135794856
Kerala,2013,4019121.0,614974.29,6.535429310386292
Kerala,2014,4466675.0,615521.79,7.256729286545648
Kerala,2015,4150453.0,608618.728,6.819463169723558
Kerala,2016,3806572.0,573174.132,6.641213878088972
Kerala,2017,4132781.0,591939.25,6.981765442990983
Kerala,2018,3638517.0,580254.189,6.270557057538106
Kerala,2019,4056402.0,591442.98,6.8584836360725765
Laddak,2011,12098.0,15145.0,0.7988114889402443
Laddak,2019,109.0,273.0,0.3992673992673993
Madhya Pradesh,2011,37404116.0,21738879.0,1.72060923656643
Madhya Pradesh,2013,39477867.0,23304766.0,1.6939825527533725
Madhya Pradesh,2014,42406660.0,22446000.0,1.8892747037334046
Madhya Pradesh,2015,53944915.0,24390721.79,2.2116981803349907
Madhya Pradesh,2016,67336773.0,25764668.97,2.6135314635094264
Madhya Pradesh,2017,66378487.0,25793307.06,2.5734771755165546
Madhya Pradesh,2018,66818703.0,26768484.29,2.4961705816478266
Madhya Pradesh,2019,81508460.0,29409568.35,2.771494604408228
Maharashtra,2011,113534720.0,19750600.0,5.748418782214212
Maharashtra,2013,112117742.0,21027700.0,5.331907055930986
Maharashtra,2014,108323500.0,20862700.0,5.1922090621060555
Maharashtra,2015,83647680.0,20600896.0,4.060390383020233
Maharashtra,2016,87391535.0,22103968.0,3.9536582300517265
Maharashtra,2017,107470785.0,22025712.5,4.879332961419522
Maharashtra,2018,111874637.0,20246239.65,5.525699534036683
Maharashtra,2019,94201044.0,21142632.0,4.455502228861572
Manipur,2011,1343305.0,353766.0,3.797156877710125
Manipur,2013,1403198.0,358830.0,3.9104812864030323
Manipur,2014,1324738.0,361988.0,3.6596185508911896
Manipur,2015,1278589.0,368701.0,3.467820808731194
Manipur,2016,1441699.0,379755.0,3.796392410896499
Manipur,2017,1424063.0,371438.0,3.8339184466855842
Manipur,2018,1376585.0,366986.0,3.751055898590137
Meghalaya,2011,714533.0,229522.0,3.11313512430181
Meghalaya,2013,828361.0,221353.0,3.7422623592180817
Meghalaya,2014,919548.0,250498.0,3.6708796078212202
Meghalaya,2015,934776.0,251639.0,3.7147500983551835
Meghalaya,2016,942442.0,255757.0,3.6849118499200415
Meghalaya,2017,945950.0,256478.0,3.6882305694835424
Meghalaya,2018,945347.0,256452.0,3.6862531779826244
Meghalaya,2019,948652.0,256962.0,3.6917987873693385
Mizoram,2011,80934.0,54848.4,1.4755945478810686
Mizoram,2013,87314.0,52772.0,1.6545516561813083
Mizoram,2014,124847.0,51026.3,2.4467186529299596
Mizoram,2015,135284.0,51963.0,2.6034678521255508
Mizoram,2016,131161.0,50591.0,2.5925757545808543
Mizoram,2017,125814.0,50695.6,2.4817538405699904
Mizoram,2018,126696.0,49845.0,2.541799578693951
Mizoram,2019,133526.0,76711.8,1.7406187835509008
Nagaland,2011,945490.0,364490.0,2.5940080660649127
Nagaland,2013,827680.0,366520.0,2.2582123758594346
Nagaland,2014,1147430.0,470090.0,2.440873024314493
Nagaland,2015,1141630.0,460960.0,2.476635716765012
Nagaland,2016,1218530.0,489420.0,2.489742961055944
Nagaland,2017,1246220.0,498590.0,2.4994885577328065
Nagaland,2018,1261730.0,502310.0,2.5118552288427467
Nagaland,2019,1205794.0,436915.7,2.759786384421526
Odisha,2011,7224024.0,4693614.0,1.539117618108349
Odisha,2013,9158042.0,4830546.0,1.8958606335598502
Odisha,2014,11112445.0,4829434.0,2.3009828895063067
Odisha,2015,6831663.0,4534445.0,1.5066150322696603
Odisha,2016,10725904.0,4649601.0,2.3068439636003175
Odisha,2017,7168255.0,4279151.0,1.6751582264799723
Odisha,2018,8497235.0,4326018.0,1.964216283889711
Odisha,2019,12988998.0,5355578.0,2.425321412553416
Puducherry,2011,341200.0,22204.0,15.366600612502252
Puducherry,2013,368386.0,20376.0,18.079407145661563
Puducherry,2014,384788.0,21772.0,17.673525629248577
Puducherry,2015,275429.0,21496.0,12.813034983252699
Puducherry,2016,270552.0,20788.0,13.014816240138542
Puducherry,2017,245776.0,21355.0,11.509061109810348
Puducherry,2018,267283.0,21980.0,12.160282074613285
Puducherry,2019,266903.0,22484.0,11.87079701120797
Punjab,2011,36415820.0,7145700.0,5.096186517765929
Punjab,2013,37698510.0,7128400.0,5.288495314516582
Punjab,2014,35112980.0,7128400.0,4.925786992873576
Punjab,2015,35451890.0,7138100.0,4.96657233717656
Punjab,2016,39273500.0,7131900.0,5.506737335072001
Punjab,2017,41079000.0,7181100.0,5.720432802773948
Punjab,2018,40607100.0,7192700.0,5.64559901010747
